Date,Open,High,Low,Close,Adj Close,Volume,Revenue,Net Income,EPS,Operating Income,EBITDA ,Current Ratio
2023/3/16,152.160004,156.460007,151.639999,155.850006,154.633591,76161100,117154,29998,1.88,36016,38932,0.94
2023/3/17,156.080002,156.740005,154.279999,155,153.790222,98944600,117154,29998,1.88,36016,38932,0.94
2023/3/20,155.070007,157.820007,154.149994,157.399994,156.171448,73641400,117154,29998,1.88,36016,38932,0.94
2023/3/21,157.320007,159.399994,156.539993,159.279999,158.036819,73938300,117154,29998,1.88,36016,38932,0.94
2023/3/22,159.300003,162.139999,157.809998,157.830002,156.598114,75701800,117154,29998,1.88,36016,38932,0.94
2023/3/23,158.830002,161.550003,157.679993,158.929993,157.689529,67622100,117154,29998,1.88,36016,38932,0.94
2023/3/24,158.860001,160.339996,157.850006,160.25,158.999222,59196500,117154,29998,1.88,36016,38932,0.94
2023/3/27,159.940002,160.770004,157.869995,158.279999,157.044601,52390300,117154,29998,1.88,36016,38932,0.94
2023/3/28,157.970001,158.490005,155.979996,157.649994,156.419495,45992200,117154,29998,1.88,36016,38932,0.94
2023/3/29,159.369995,161.050003,159.350006,160.770004,159.515167,51305700,117154,29998,1.88,36016,38932,0.94
2023/3/30,161.529999,162.470001,161.270004,162.360001,161.092773,49501700,117154,29998,1.88,36016,38932,0.94
2023/3/31,162.440002,165,161.910004,164.899994,163.61293,68749800,94836,24160,1.52,28318,31216,0.94
2023/4/3,164.270004,166.289993,164.220001,166.169998,164.873016,56976200,94836,24160,1.52,28318,31216,0.94
2023/4/4,166.600006,166.839996,165.110001,165.630005,164.337234,46278300,94836,24160,1.52,28318,31216,0.94
2023/4/5,164.740005,165.050003,161.800003,163.759995,162.481827,51511700,94836,24160,1.52,28318,31216,0.94
2023/4/6,162.429993,164.960007,162,164.660004,163.374817,45390100,94836,24160,1.52,28318,31216,0.94
2023/4/10,161.419998,162.029999,160.080002,162.029999,160.765335,47716900,94836,24160,1.52,28318,31216,0.94
2023/4/11,162.350006,162.360001,160.509995,160.800003,159.544952,47644200,94836,24160,1.52,28318,31216,0.94
2023/4/12,161.220001,162.059998,159.779999,160.100006,158.850403,50133100,94836,24160,1.52,28318,31216,0.94
2023/4/13,161.630005,165.800003,161.419998,165.559998,164.267776,68445600,94836,24160,1.52,28318,31216,0.94
2023/4/14,164.589996,166.320007,163.820007,165.210007,163.920517,49386500,94836,24160,1.52,28318,31216,0.94
2023/4/17,165.089996,165.389999,164.029999,165.229996,163.940353,41516200,94836,24160,1.52,28318,31216,0.94
2023/4/18,166.100006,167.410004,165.649994,166.470001,165.1707,49923000,94836,24160,1.52,28318,31216,0.94
2023/4/19,165.800003,168.160004,165.539993,167.630005,166.32164,47720200,94836,24160,1.52,28318,31216,0.94
2023/4/20,166.089996,167.869995,165.559998,166.649994,165.349258,52456400,94836,24160,1.52,28318,31216,0.94
2023/4/21,165.050003,166.449997,164.490005,165.020004,163.73201,58337300,94836,24160,1.52,28318,31216,0.94
2023/4/24,165,165.600006,163.889999,165.330002,164.039566,41949600,94836,24160,1.52,28318,31216,0.94
2023/4/25,165.190002,166.309998,163.729996,163.770004,162.49176,48714100,94836,24160,1.52,28318,31216,0.94
2023/4/26,163.059998,165.279999,162.800003,163.759995,162.481827,45498800,94836,24160,1.52,28318,31216,0.94
