Date,Open,High,Low,Close,Adj Close,Volume,Revenue,Net Income,EPS,Operating Income,Current Ratio,EBITDA
2020/2/14,7.1815,7.37425,7.15,7.24475,7.215619,1041924000,3105,951,0.04,990,7.67,1096
2020/2/18,7.141,7.43275,7.1215,7.41425,7.384437,620164000,3105,951,0.04,990,7.67,1096
2020/2/19,7.53725,7.88525,7.53725,7.8675,7.835865,694332000,3105,951,0.04,990,7.67,1096
2020/2/20,7.81925,7.908,7.40875,7.7175,7.686469,810052000,3105,951,0.04,990,7.67,1096
2020/2/21,7.60475,7.63,7.2665,7.35175,7.322189,768180000,3105,951,0.04,990,7.67,1096
2020/2/24,6.75475,7.04675,6.7,6.832,6.804528,856916000,3105,951,0.04,990,7.67,1096
2020/2/25,6.9075,6.96975,6.449,6.55125,6.524908,1055496000,3105,951,0.04,990,7.67,1096
2020/2/26,6.5515,6.88625,6.55,6.69125,6.664345,747732000,3105,951,0.04,990,7.67,1096
2020/2/27,6.3725,6.675,6.22225,6.315,6.29337,906416000,3105,951,0.04,990,7.67,1096
2020/2/28,6.0615,6.8115,6.04475,6.75175,6.728624,1133252000,3105,951,0.04,990,7.67,1096
2020/3/2,6.9225,6.93975,6.525,6.91075,6.88708,890744000,3105,951,0.04,990,7.67,1096
2020/3/3,6.96675,7.02675,6.5615,6.64725,6.624482,652792000,3105,951,0.04,990,7.67,1096
2020/3/4,6.755,7.12225,6.68,7.11275,7.088387,597408000,3105,951,0.04,990,7.67,1096
2020/3/5,6.9125,7.08,6.7875,6.83225,6.808848,540328000,3105,951,0.04,990,7.67,1096
2020/3/6,6.652,6.70975,6.45,6.651,6.628219,515412000,3105,951,0.04,990,7.67,1096
2020/3/9,5.9975,6.485,5.9545,6.136,6.114983,614160000,3105,951,0.04,990,7.67,1096
2020/3/10,6.4135,6.527,6.14975,6.527,6.504642,580648000,3105,951,0.04,990,7.67,1096
2020/3/11,6.3865,6.415,6.06425,6.16175,6.140645,499964000,3105,951,0.04,990,7.67,1096
2020/3/12,5.6365,5.903,5.395,5.40775,5.389227,816540000,3105,951,0.04,990,7.67,1096
2020/3/13,5.7625,6.0255,5.49025,6.021,6.000376,634836000,3105,951,0.04,990,7.67,1096
2020/3/16,5.31025,5.6525,4.85,4.91,4.893183,726972000,3105,951,0.04,990,7.67,1096
2020/3/17,5.02275,5.5215,4.775,5.43175,5.413144,833632000,3105,951,0.04,990,7.67,1096
2020/3/18,5.0025,5.2485,4.517,5.0705,5.053132,874268000,3105,951,0.04,990,7.67,1096
2020/3/19,5.049,5.41825,4.83475,5.32425,5.306014,765512000,3105,951,0.04,990,7.67,1096
2020/3/20,5.475,5.758,5.12825,5.14375,5.126131,804636000,3105,951,0.04,990,7.67,1096
2020/3/23,5.14275,5.412,4.963,5.31725,5.299037,643876000,3105,951,0.04,990,7.67,1096
2020/3/24,5.725,6.3165,5.70125,6.2295,6.208162,1101644000,3105,951,0.04,990,7.67,1096
2020/3/25,6.345,6.5455,6.0915,6.1405,6.119468,793432000,3105,951,0.04,990,7.67,1096
2020/3/26,6.3485,6.5555,6.25,6.431,6.408973,696108000,3105,951,0.04,990,7.67,1096
2020/3/27,6.25,6.578,6.217,6.31825,6.296609,638828000,3105,951,0.04,990,7.67,1096
2020/3/30,6.384,6.649,6.33975,6.63975,6.617008,602252000,3105,951,0.04,990,7.67,1096
2020/3/31,6.68,6.885,6.44375,6.59,6.567428,949960000,3105,951,0.04,990,7.67,1096
2020/4/1,6.39125,6.53825,6.032,6.07675,6.055935,656912000,3105,951,0.04,990,7.67,1096
2020/4/2,6.106,6.4,6.05775,6.38675,6.364873,675764000,3105,951,0.04,990,7.67,1096
2020/4/3,6.349,6.39075,5.95975,6.09775,6.076863,663212000,3105,951,0.04,990,7.67,1096
2020/4/6,6.381,6.747,6.32325,6.71,6.687016,727884000,3105,951,0.04,990,7.67,1096
